Name,Qty,Price
FORTINERV TAB,1,298
OCUVIR-400 DT TAB,4,124
GLOVES *MEDIUM* (SAFE HAND RUBBER HOUSEHOLD USE),219,131
ZIPOD CV 100 DT TABLET,1,417
ABSOMEGA Q10 TABLET,2,391
NERVIHENZ TABLET,2,154
VILPOWER TAB,1,240
IMXIA -10 SOLUTION,1,342
AQUINA LOTION 100GM,2,378
SAPAT LOTION 12 ML,27,140
OLMETIME AMH 40MG TAB,2,399
LINZOLE CREAM 10GM (LULICONAZOLE),6,433
OMNIGEL SPRAY -55GM/78.6ML,5,295
LOYZIDE 60 XR TAB ,1,384
I-KOLD EYE DROP,12,26
CEFLOX-D EYE/EAR DR,5,281
ORNIDA,1,361
FEBUTAX 40 TAB,3,340
OMEE 20MG CAPSULES,142,224
ALOESOFT SOAP,14,448
GLIMP-MP2 TAB,4,52
GLIMP-M1 TAB,10,232
GLIMP-M1 SR TAB,1,228
GLIMP-MP1 TAB,16,497
DICLOFEN-SP TAB,26,220
TELMEROS-M 25 TAB,2,443
TENEBETIC M 1000SR,3,295
FCN-200 TAB,3,49
OMNI  SPRAY 35GM,3,401
LAFAXID-10MG TAB,1,162
L-CETRIVER(LEVOCETRIZINE) TAB,8,420
ELECTRAL 4.40G POWDE,66,80
UVEE CREAM ,2,169
SMILOGEL CT MOUTH ULCER GEL#  10GM,4,139
OFLOTAS-OZ TAB,1,147
VERTIRON TAB(CINNARIZINE),9,391
CEFIX-0 TAB,1,349
APTIVATE SYRUP 450ML,2,181
MACDERM+ CREAM 15G,6,114
GLIMDA-1 TAB(GLIMEPRIDE 2MG),32,386
ALOESOFT LOTION 100ML,4,215
DICLOGEM-SP TAB,6,267
TERBODERM 250MG TAB,7,370
ELOSONE-HT CREAM ,12,138
CLOBETA-GM CREAM 10GM,3,187
MVBC TAB,5,361
VOGLIDIB 0.3 (VOGLIBOSE TAB 0.3MG),12,326
VOGLIDIB 0.2 (VOGLIBOSE TAB 0.2MG),6,340
ROSUVASTIN 20(ROSUVASTATIN CALCIUM 20MG),3,109
ROSUVASTIN 10(ROSUVASTATIN CALCIUM 10MG),2,153
PREGALYV-M (METHAYLCOBALAMIN CAP),5,208
PREGALYV-75 (PREGABALIN CAP 75MG),6,45
ESOMEFOL TAB,5,261
"METOPROL XL 50 #M,ETOPROLOL",29,172
BUTA-PROXYVON GEL 30 GM,1,456
ULGEL SUP 450ML,1,266
ALKOF PLUS 100 ML SYRUP,5,42
KAYAM TABLET BOTT,2,14
FLORITE NIPPLE SHILED REGULAR BREAST SHIELD,1,435
BABY LIPS CHERRY KISS,1,421
GERIFORTE TABLET,1,195
AIR FRESHENER (POPPY),8,298
BRINZOX EYE DROP,5,166
LULIZOL CREAM 10 G,1,470
ISMET SR 500 MG TAB,5,194
ETHAMCIP -500MG TABLET - ETHAMSYLATE,5,368
PROLISER SYRUP-200ML,2,396
CANDIDERMA CREAM 20GM,1,165
GRILINCTUS SYP,11,129
LAKME FACE WASH*LEMON*50GM,2,226
VASELIN LIP CARE*COCO,15,202
ZOCON-150 3 TAB,21,146
EVERY DAY BATTERY,72,318
ACCU-CHEK INSTANT 50 TEST STRIP,3,440
ZUCATOR 100TAB,5,200
MACSART CC 12.5,2,333
MOOV ORTHO CREAM 50MG,4,246
SARTEL BETA 50 TAB,2,170
CANDID TOTAL PLUS ,1,459
LULIGEE CREAM,1,372
DIOVOL MANGO SYP,1,361
HAND WASH TREEOLOGY CITRU,6,154
VENFLO NO-18,2,400
DERMOTRIAD  PLUS CREAM ,2,174
ACCU-CHEK ACTIVE < 25STR>,1,390
KARMA WHEEL CHAIR RYDER 3MS,1,372
KARMA WHEEL CHAIR RAINBOW 6,1,290
TERBEST CREAM * 30G,2,155
CYBLEX 30 XR TAB,5,488
CROCIN FAST RELEASE 650MG,5,46
UNIENZYME TAB,3,295
LULIFIN CREAM 30GM,2,380
GLIZIHENZ -60TAB,1,301
FOGG DEO CHARM,5,428
FOGG DEO RELISH,4,326
ZIFI-LBX NEO TAB,1,477
VOGLI-RAPID 0.3/1.0 TAB,1,341
AB-FLO-N,1,329
ROSEDAY - A 20 CAP,3,188
DUPHALAC BULK 160ML,1,83
DIPROBATE PLUS CREAM 30G,2,444
ZYDIP-C CREAM,1,431
MOXOCARD 0.3,3,108
TONENGLO-S FACEWASH,1,210
NEBULIZER<DR.MOREPEN,5,256
FLUCOS POWDER 150GM ,1,110
FORMOFLO 250 TRANCAPS,1,459
TOLYB TABLET,1,93
ITZHH-200 MG CAP,1,177
CRESTOR 40 MG,2,338
ULTRANISE TAB,2,188
FRITOLEV 500MG,1,245
SAT-ISABGOL <RANAKPUR 200G,4,280
SAT-ISABGOL <RANAKPUR 100G,3,72
SAT-ISABGOL <RANAKPUR 50G,1,409
XYMOHEAL SPRAY,1,231
ICE CREAM 280,1,40
DOXINATE 24 TAB,1,275
DERMICOOL POW. <LAVENDER> 150,15,67
SALLAKI LINIMENT 100ML,4,64
NATUROGEST * SR 400* TAB,1,180
EVECARE FORTE SY. (200ML)  ,1,439
CTD T AM 12.5/40/5 TAB,5,500
EPLERITE 25 TAB,3,126
ATARAX ANTI-ITCH LOTION 100ML,1,14
NESTLE EVERYDAY POW 400G,1,161
BETASAFE OINTMENT,5,83
BIODEX SYRUP 100ML,4,309
STREAX HAIR SERUM 25ML,16,86
SPORIDEX 125MG DRY SYRUP 30ML,1,248
DERMADEW BABY CREAM 80G,1,335
GLUCONORM-G 0.5MG,3,489
GLYCOLATE 1MG TAB,5,82
METROGYL-ER 600MG,1,108
TOFFE,40,57
ACNE-UV GEL SPF30 (60G),1,375
GODREJ MR.MAGIC HANDWASH BOX,1,257
NAZOMAC-FF NASAL SPRAY 120 SPRAY,1,449
PILEX FORTE OINTMENT,2,46
HYNIDASE INJ 2ML,1,132
CTD T AM 6.25/40/5 TAB,18,453
BESIX EYE DROP,1,316
DIOVOL-LA MINT SYP,6,168
KENZ -SAL LOTION,1,170
MAC-MPS SYP,1,490
PREGABID ME 75 TAB,1,63
OLKEM TRIO 40 TAB,2,251
LUPIVESTIN 250,1,339
ROZUCOR-GOLD 20,3,211
JUSTIN SUPPOS.**25MG,1,204
GLUCORED TAB,5,401
CALCIQUICK-D3 60K SOFT CAP,8,273
JARDIANCE MET 12.5/1000 MG TAB,1,102
JARDIANCE MET 12.5/500 MG TAB,6,194
METHYCAL 2000,1,144
MG D3 60 K,2,410
AMICLINE TAB,2,336
LURAMAX 40MG TAB,1,253
CHARCOAL PEEL-OFF MASK27 ML,1,359
TIXYLIX-LS SYP,4,152
LT-MAC LOTION,2,439
MORRPRO HAIR SERUM,1,382
